,ISSUER_CODE,RATING,RATING_ECAI_CODE,RATING_DATE
0,60000789966,AAA,STD_POORS,2023-08-25
1,60001043116,AAA,STD_POORS,2023-09-27
2,60001443427,AAA,STD_POORS,2023-06-28
3,60001631916,AAA,STD_POORS,2022-07-28
4,60001852424,AAA,STD_POORS,2021-04-27
5,60023145873,AAA,STD_POORS,2023-09-08
6,60023155686,AAA,STD_POORS,2023-07-17
7,60023197017,AAA,STD_POORS,2023-09-11
8,60023218815,AA+,STD_POORS,2023-09-07
9,60023234940,AAA,STD_POORS,2023-05-24
10,60023270117,AAA,STD_POORS,2023-07-20
11,60023301231,AAA,STD_POORS,2023-07-27
12,60023314876,AA+,STD_POORS,2023-07-28
13,60023336007,AAA,STD_POORS,2023-08-14
14,60023418080,AAA,STD_POORS,2023-07-27
15,60023459981,AA+,STD_POORS,2023-07-31
16,60023467463,AAA,STD_POORS,2023-06-19
17,60023481383,AA-,STD_POORS,2023-07-27
18,60023507799,AAA,STD_POORS,2023-02-10
19,60023528829,AAA,STD_POORS,2023-07-27
20,60023566969,AAA,STD_POORS,2023-08-28
21,60023681387,AAA,STD_POORS,2023-08-29
22,60023689843,AAA,STD_POORS,2023-07-24
23,60023702898,AAA,STD_POORS,2023-06-30
24,60023802437,AAA,STD_POORS,2023-07-17
25,60023827258,AAA,STD_POORS,2023-07-17
26,60024000507,AA,STD_POORS,2023-09-17
27,60024446189,AAA,STD_POORS,2023-07-21
28,60024605985,AAA,STD_POORS,2023-07-21
29,60024623858,AAA,STD_POORS,2018-06-25
30,60024625216,AA+,STD_POORS,2023-08-21
31,60024803410,AAA,STD_POORS,2023-07-25
32,60024847246,AA+,STD_POORS,2023-09-28
33,60025569015,AAA,STD_POORS,2023-06-02
34,90000000184,AAA,STD_POORS,2023-08-30
35,90000000239,AAA,STD_POORS,2023-08-09
36,90000000255,AAA,STD_POORS,2023-09-15
37,90000000300,AAA,STD_POORS,2023-09-12
38,90000000613,AA+,STD_POORS,2023-07-27
39,90000000655,AAA,STD_POORS,2023-09-13
40,90000000684,AA+,STD_POORS,2023-06-27
41,90000000742,AAA,STD_POORS,2023-09-08
42,90000000868,AAA,STD_POORS,2023-08-03
43,90000000884,AAA,STD_POORS,2023-07-25
44,90000001014,AAA,STD_POORS,2023-06-25
45,90000001043,AAA,STD_POORS,2023-09-13
46,90000001085,AAA,STD_POORS,2023-08-07
47,90000001385,AA+,STD_POORS,2023-07-26
48,90000001443,AAA,STD_POORS,2023-06-21
49,90000001485,AAA,STD_POORS,2023-06-26
50,90000001514,AAA,STD_POORS,2023-09-06
51,90000001530,AAA,STD_POORS,2023-06-20
52,90000001669,AAA,STD_POORS,2023-09-01
53,90000001743,AAA,STD_POORS,2023-08-21
54,90000001969,AAA,STD_POORS,2023-05-18
55,90000001972,AAA,STD_POORS,2023-09-06
56,90000002073,AA,STD_POORS,2023-07-27
57,90000002102,AA+,STD_POORS,2021-09-10
58,90000002131,AAA,STD_POORS,2023-08-04
59,90000002302,AA,STD_POORS,2017-02-17
60,90000002315,AAA,STD_POORS,2023-05-31
61,90000002373,AA+,STD_POORS,2023-07-27
62,90000002415,AAA,STD_POORS,2023-08-09
63,90000002657,AAA,STD_POORS,2023-09-05
64,90000002786,AA+,STD_POORS,2023-07-28
65,90000003016,AAA,STD_POORS,2023-07-26
66,90000003029,AAA,STD_POORS,2023-08-07
67,90000003074,AAA,STD_POORS,2023-09-07
68,90000003232,AA+,STD_POORS,2023-07-24
69,90000003303,AA+,STD_POORS,2023-06-25
70,90000003329,AA+,STD_POORS,2023-07-26
71,90000003803,AAA,STD_POORS,2023-06-27
72,90000003858,AAA,STD_POORS,2023-06-15
73,90000003874,AAA,STD_POORS,2023-07-28
74,90000004004,AAA,STD_POORS,2023-07-28
75,90000004146,AAA,STD_POORS,2023-08-29
76,90000004159,AA,STD_POORS,2017-02-24
77,90000004233,AA+,STD_POORS,2023-06-15
78,90000004291,AA+,STD_POORS,2023-07-20
79,90000004304,AAA,STD_POORS,2023-08-24
80,90000004317,AAA,STD_POORS,2023-08-29
81,90000004417,AAA,STD_POORS,2023-09-01
82,90000004720,AA+,STD_POORS,2023-05-22
83,90000004746,AA+,STD_POORS,2023-06-08
84,90000004804,AA,STD_POORS,2023-07-28
85,90000004817,AA+,STD_POORS,2023-06-09
86,90000004820,AAA,STD_POORS,2023-06-27
87,90000004846,AAA,STD_POORS,2023-07-25
88,90000004859,AA+,STD_POORS,2023-05-22
89,90000004959,AA+,STD_POORS,2023-06-16
90,90000004988,AAA,STD_POORS,2023-07-27
91,90000005218,AA+,STD_POORS,2023-06-21
92,90000005392,AAA,STD_POORS,2023-08-15
93,90000005418,AA+,STD_POORS,2023-08-02
